filePath,HEADER,START,END,REGION(S)-,NATION(S)-,ACTOR(S)-,COMMITTER(S)-,LOCATION(S)-,INTERVENOR(S)-,MODE-,MAGNITUDE-,COMBATANTS-,DEATHS-,FORCE-,ISSUE(S)-,OUTCOME(S)-,SOURCE(S)-
5-ocr-split/0001.tif-1.txt,"ANNEX B
COMPENDIUM OF MAJOR
ARMED CONFLICTS, 1720 TO 1985
KEY:
The compendium is organized accordingly:
SEQUENCE NUMBER DESCRIPTOR DATE",1720,1985,,,,,,,,,,,,,,
5-ocr-split/0002.tif-1.txt,L INVASION OF PERSIA 1722 to 1730,1722,1730,Asia,AFGHANISTAN TRAN/PERSIA,,AFGHANISTAN,TRAN/PERSIA,,Conventional Interstate,192,0,0,Ground Forces,Territory-Population Colonial,Unsuccess. Conmitter,7
5-ocr-split/0002.tif-2.txt,L-TREATY OF SEVILLE 1727 to Nov. 1729,1727,1729,"BRITAIN FRANCE
SPAIN TTALY/SARDINIA",,,BRITAIN _ FRANCE,ITALY/SARDINIA ;,,Conventional Interstate,116,0,O,Naval Forces Ground Forces,Territory-Population,Comproamise Committer,7
5-ocr-split/0002.tif-3.txt,2.KA2 WITH JUNGARS 1729 to 1732,1729,1732,Asia,CHINA MONGOLIA,,CHINA,MONGOLIA,,Imperial,72,0,QO,Ground Forces,Territory-Population Colonial,Compromise Conmmitter,7
5-ocr-split/0002.tif-4.txt,4.REVOLT OF CORSICA _ 1729 to 1755,1729,1755,Europe,CORSICA GENOA,,CORSICA,CORSICA,,Colonial,624,0,QO,Ground Forces,Colonial,Successful Conmitter,7
5-ocr-split/0003.tif-1.txt,5.SHAH TAHMAS II CAMPAIGN 1730 “<0 1731,1730,1731,Mid. East,IRAN/PERSIA TURKEY,,IRAN/PERSIA,IRAN/PERSIA TURKEY,,Conventional Interstate,24,G,O,Ground Forces,Territory-Population Colonial,Unsuccess. Committer,7
5-ocr-split/0003.tif-2.txt,6.WAR OF THE POLISH SUCCESSION 1733 to Oct. 173,1733,173,Europe,"POLAND FRANCE
SPAIN ITALY/SARDINIA
AUSTRIA-HUNGARY RUSSIA (USSR)
GERMANY/PRUSSIA",,RUSSIA (USSR),POLAND,,Conventional Interstate,196,0,Q,Ground Forces,Elite,Successful Conmitter,7
5-ocr-split/0003.tif-3.txt,7-GENEVA UPRISINGS 1734 to 2.737,1734,2.737,Europe,SWITZERLAND,GENEVA-SWITZERLAND,GENEVA-SWITZERLAND,SWITZERLAND,,Primarily Internal,36,0,O,Ground Forces,Internal Tension Elite,Unsuccess. Conmmitter,7
5-ocr-split/0003.tif-4.txt,8.RUSSO-PERSIA VERSUS TURKS 1735 to L725,1735,L725,Mid. East,"IRAN/PERSIA RUSSIA (USSR)
TURKEY",,IRAN/PERSIA RUSSIA (USSR),TURKEY,,Conventional Interstate,18,C,O,Ground Forces,"Military-Strategic Territory-Population
Colonial Opportunism",Successful Comnitter,7
5-ocr-split/0004.tif-1.txt,J S3S-ACSTRIA WAR AGAINST TURKS 1736 to Sep. 1739,1736,1739,TURKEY,,,,,7,Conventional Interstate,117,0 cS 0 Force- Ground Forces,Europe,,"Territory-Population Military-Strategic
Colonial Opportunism",Compromise Committer,
